4123 3 16
4104 1 4104 69122916865
4104 1 4103 69072400728
4104 1 4102 69021909209
4104 1 4101 68971442302
4104 1 4100 68921000001
4104 1 4099 68870582300
4104 1 4098 68820189193
4104 1 4097 68769820674
4104 1 4096 68719476737
4104 1 4095 68669157376
4104 1 4094 68618862585
4104 1 4093 68568592358
4104 1 4092 68518346689
4104 1 4091 68468125572
4104 1 4090 68417929001
4104 1 4089 68367756970
4104 1 4088 68317609473
4104 1 4087 68267486504
4104 1 4086 68217388057
4104 1 4085 68167314126
4104 1 4084 68117264705
4104 1 4083 68067239788
4104 1 4082 68017239369
4104 1 4081 67967263442
4104 1 4080 67917312001
4104 1 4079 67867385040
4104 1 4078 67817482553
4104 1 4077 67767604534
4104 1 4076 67717750977
4104 1 4075 67667921876
4104 1 4074 67618117225
4104 1 4073 67568337018
4104 1 4072 67518581249
4104 1 4071 67468849912
4104 1 4070 67419143001
4104 1 4069 67369460510
4104 1 4068 67319802433
4104 1 4067 67270168764
4104 1 4066 67220559497
4104 1 4065 67170974626
4104 1 4064 67121414145
4104 1 4063 67071878048
4104 1 4062 67022366329
4104 1 4061 66972878982
4104 1 4060 66923416001
4104 1 4059 66873977380
4104 1 4058 66824563113
4104 1 4057 66775173194
4104 1 4056 66725807617
4104 1 4055 66676466376
4104 1 4054 66627149465
4104 1 4053 66577856878
4104 1 4052 66528588609
4104 1 4051 66479344652
4104 1 4050 66430125001
4104 1 4049 66380929650
4104 1 4048 66331758593
4104 1 4047 66282611824
4104 1 4046 66233489337
4104 1 4045 66184391126
4104 1 4044 66135317185
4104 1 4043 66086267508
4104 1 4042 66037242089
4104 1 4041 65988240922
4104 1 4040 65939264001
4104 1 4039 65890311320
4104 1 4038 65841382873
4104 1 4037 65792478654
4104 1 4036 65743598657
4104 1 4035 65694742876
4104 1 4034 65645911305
4104 1 4033 65597103938
4104 1 4032 65548320769
4104 1 4031 65499561792
4104 1 4030 65450827001
4104 1 4029 65402116390
4104 1 4028 65353429953
4104 1 4027 65304767684
4104 1 4026 65256129577
4104 1 4025 65207515626
4104 1 4024 65158925825
4104 1 4023 65110360168
4104 1 4022 65061818649
4104 1 4021 65013301262
4104 1 4020 64964808001
4104 1 4019 64916338860
4104 1 4018 64867893833
4104 1 4017 64819472914
4104 1 4016 64771076097
4104 1 4015 64722703376
4104 1 4014 64674354745
4104 1 4013 64626030198
4104 1 4012 64577729729
4104 1 4011 64529453332
4104 1 4010 64481201001
4104 1 4009 64432972730
4104 1 4008 64384768513
4104 1 4007 64336588344
4104 1 4006 64288432217
4104 1 4005 64240300126
4104 1 4004 64192192065
4104 1 4003 64144108028
4104 1 4002 64096048009
4104 1 4001 64048012002
4104 1 4000 64000000001
4104 1 3999 63952012000
4104 1 3998 63904047993
4104 1 3997 63856107974
4104 1 3996 63808191937
4104 1 3995 63760299876
4104 1 3994 63712431785
4104 1 3993 63664587658
4104 1 3992 63616767489
4104 1 3991 63568971272
4104 1 3990 63521199001
4104 1 3989 63473450670
4104 1 3988 63425726273
4104 1 3987 63378025804
4104 1 3986 63330349257
4104 1 3985 63282696626
4104 1 3984 63235067905
4104 1 3983 63187463088
4104 1 3982 63139882169
4104 1 3981 63092325142
4104 1 3980 63044792001
4104 1 3979 62997282740
4104 1 3978 62949797353
4104 1 3977 62902335834
4104 1 3976 62854898177
4104 1 3975 62807484376
4104 1 3974 62760094425
4104 1 3973 62712728318
4104 1 3972 62665386049
4104 1 3971 62618067612
4104 1 3970 62570773001
4104 1 3969 62523502210
4104 1 3968 62476255233
